location,time,deficit,gdp,unemployment
USA,1970,-4.433305413,5233.35,4.933333
USA,1971,-5.277889857,5608.55,5.958333
USA,1972,-4.000469076,6093.21,5.616667
USA,1973,-2.741606425,6725.41,4.891667
USA,1974,-3.328156154,7224.2,5.591667
USA,1975,-7.261238622,7801.17,8.466666
USA,1976,-5.245706764,8590.24,7.716667
USA,1977,-3.969544045,9450.43,7.066667
USA,1978,-3.123121757,10562.86,6.066667
USA,1979,-2.621483459,11671.54,5.833333
USA,1980,-4.048493914,12547.13,7.141667
USA,1981,-3.615725524,13943.17,7.6
USA,1982,-6.21298174,14399.35,9.708333
USA,1983,-6.943708349,15508.01,9.616667
USA,1984,-5.831846688,17080.01,7.525
USA,1985,-5.987675903,18192.33,7.191667
USA,1986,-6.181642145,19027.65,6.991667
USA,1987,-5.173812076,19993.23,6.191667
USA,1988,-4.517145052,21367.9,5.491667
USA,1989,-4.301633585,22804.67,5.266667
USA,1990,-5.240790764,23835.32,5.616667
USA,1991,-6.12652317,24289.55,6.816667
USA,1992,-7.146331771,25378.62,7.508333
USA,1993,-6.328036254,26350.49,6.9
USA,1994,-4.994490366,27660.27,6.083333
USA,1995,-4.643077934,28657.51,5.608333
USA,1996,-3.499333963,29932.16,5.416667
USA,1997,-2.073760672,31424.44,4.95
USA,1998,-0.910456429,32817.98,4.508333
USA,1999,-0.48220715,34479.79,4.216667
USA,2000,0.335568833,36299.66,3.991667
USA,2001,-1.847424038,37100.29,4.733333
USA,2002,-5.303192173,37954.22,5.775
USA,2003,-6.414336029,39419.91,5.991667
USA,2004,-5.775042817,41659.66,5.533333
USA,2005,-4.447719442,44052.38,5.066667
USA,2006,-3.333419227,46234.11,4.616667
USA,2007,-3.979303076,47976.2,4.616667
USA,2008,-7.342535766,48498.45,5.775
USA,2009,-13.0999304,47122.99,9.266666
USA,2010,-12.38000873,48570.29,9.616667
USA,2011,-10.95599469,49951.91,8.95
USA,2012,-9.187067529,51644.99,8.066667
USA,2013,-5.802407097,53116.52,7.375
USA,2014,-5.187102362,54914.37,6.166667
USA,2015,-4.598510614,56520.61,5.291667
USA,2016,-5.403228524,57592.69,4.866667
USA,2017,-4.423228391,59589.23,4.35
USA,2018,-6.092950694,62449.61,3.9
USA,2019,-6.657911687,64690.27,3.666667
USA,2020,-14.85997799,63480.86,8.091666
USA,2021,-12.06433853,70181.12,5.366667
